City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Katsuura,JP,63.84,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
2,Saint Anthony,US,77.97,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
5,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
6,Illapel,CL,65.44,scattered clouds,-31.6308,-71.1653,Hotel Londres
9,Rikitea,PF,72.72,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Carnarvon,AU,64.47,light rain,-24.8667,113.6333,Hospitality Carnarvon
14,Yellowknife,CA,70.32,few clouds,62.456,-114.3525,The Explorer Hotel
17,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
21,Hermanus,ZA,63.61,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
22,Port Elizabeth,ZA,68.31,clear sky,-33.918,25.5701,39 On Nile Guest House
26,Cape Town,ZA,62.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
29,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
30,Atuona,PF,78.46,few clouds,-9.8,-139.0333,Villa Enata
31,Mar Del Plata,AR,65.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
32,Claye-Souilly,FR,65.91,scattered clouds,48.9449,2.6857,CRYSTAL HOTEL
33,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
36,Port Alfred,ZA,68.5,clear sky,-33.5906,26.891,The Halyards Hotel
38,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
39,Teshie,GH,82.96,few clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
40,Mayumba,GA,73.98,clear sky,-3.432,10.6554,LIKWALE LODGE
41,Portland,US,73.17,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
42,Hazorasp,UZ,73.24,clear sky,41.3194,61.0742,Kemping wifi hotel
44,Marawi,PH,68.92,overcast clouds,7.9986,124.2928,Derogongan Residence
46,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
47,Lasa,IT,59.88,light rain,46.6166,10.7002,Pension Feldgärtenhof
48,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
50,Linxia,CN,57.94,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
53,Gambela,ET,70.3,broken clouds,8.25,34.5833,Solomon Debebe Hotel
54,Cidreira,BR,63.66,clear sky,-30.1811,-50.2056,Hotel Castelo
57,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
58,Sola,VU,80.38,broken clouds,-13.8833,167.55,Leumerus Bungalows
59,Busselton,AU,58.8,broken clouds,-33.65,115.3333,Observatory Guest House
61,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
63,Hambantota,LK,79.99,overcast clouds,6.1241,81.1185,Bungalow 63
64,East London,ZA,66.38,clear sky,-33.0153,27.9116,Tu Casa
65,Butaritari,KI,81.55,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
67,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
68,Jamestown,US,72.01,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
69,Chase,CA,72.09,broken clouds,50.8165,-119.6857,Chase Country Inn Motel
70,Zhenhai,CN,71.08,heavy intensity rain,24.2582,118.0905,In Zhijian Guesthouse
71,Georgetown,MY,81.95,few clouds,5.4112,100.3354,Cititel Penang
72,Abbeville,FR,60.49,clear sky,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
73,Grindavik,IS,55.35,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
74,Muli,MV,82.51,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
75,Hithadhoo,MV,82.69,overcast clouds,-0.6,73.0833,Scoop Guest House
77,Vila Franca Do Campo,PT,74.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
79,Kapaa,US,81.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
83,Ostersund,SE,56.61,broken clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
84,Victoria,HK,80.33,moderate rain,22.2855,114.1577,Mini Central
