City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,city_wind,Current Description
0,Katsuura,JP,2022-06-08 19:29:48,35.1333,140.3,63.84,90,94,9.71,overcast clouds
1,Bluff,NZ,2022-06-08 19:29:49,-46.6,168.3333,39.79,86,81,11.1,broken clouds
2,Saint Anthony,US,2022-06-08 19:29:51,45.0205,-93.218,77.97,32,75,12.66,broken clouds
3,Lebu,CL,2022-06-08 19:29:52,-37.6167,-73.65,54.54,88,83,10.47,broken clouds
4,Cherskiy,RU,2022-06-08 19:29:53,68.75,161.3,54.91,57,66,12.46,broken clouds
5,Cabo San Lucas,MX,2022-06-08 19:29:54,22.8909,-109.9124,83.61,57,0,9.22,clear sky
6,Illapel,CL,2022-06-08 19:29:54,-31.6308,-71.1653,65.44,53,26,6.55,scattered clouds
7,Hobart,AU,2022-06-08 19:29:55,-42.8794,147.3294,47.05,69,100,9.22,overcast clouds
8,Chokurdakh,RU,2022-06-08 19:29:56,70.6333,147.9167,38.37,75,98,10.18,overcast clouds
9,Rikitea,PF,2022-06-08 19:29:57,-23.1203,-134.9692,72.72,64,96,14.09,overcast clouds
10,Carnarvon,AU,2022-06-08 19:29:58,-24.8667,113.6333,64.47,94,75,10.36,light rain
11,Hammerfest,NO,2022-06-08 19:29:59,70.6634,23.6821,43.25,75,75,19.57,light rain
12,Pevek,RU,2022-06-08 19:30:00,69.7008,170.3133,41.07,67,40,0.67,scattered clouds
13,Punta Arenas,CL,2022-06-08 19:30:02,-53.15,-70.9167,39.31,75,75,14.97,broken clouds
14,Yellowknife,CA,2022-06-08 19:30:04,62.456,-114.3525,70.32,35,20,11.5,few clouds
15,Ushuaia,AR,2022-06-08 19:30:05,-54.8,-68.3,40.62,100,100,29.93,sleet
16,Kaitangata,NZ,2022-06-08 19:30:06,-46.2817,169.8464,40.75,92,84,5.66,broken clouds
17,Kloulklubed,PW,2022-06-08 19:30:07,7.0419,134.2556,73.9,66,91,2.3,overcast clouds
18,Aswan,EG,2022-06-08 19:30:08,24.0934,32.907,97.9,13,0,0.0,clear sky
19,Saskylakh,RU,2022-06-08 19:30:08,71.9167,114.0833,52.65,79,69,1.41,light rain
20,Barrow,US,2022-06-08 19:30:09,71.2906,-156.7887,26.62,80,100,5.75,overcast clouds
21,Hermanus,ZA,2022-06-08 19:30:10,-34.4187,19.2345,63.61,69,41,12.8,scattered clouds
22,Port Elizabeth,ZA,2022-06-08 19:30:10,-33.918,25.5701,68.31,45,0,8.05,clear sky
23,Albany,US,2022-06-08 19:26:05,42.6001,-73.9662,76.78,51,11,1.01,few clouds
24,New Norfolk,AU,2022-06-08 19:30:11,-42.7826,147.0587,46.71,77,73,8.01,broken clouds
25,Hilo,US,2022-06-08 19:27:51,19.7297,-155.09,86.29,73,75,8.01,broken clouds
26,Cape Town,ZA,2022-06-08 19:30:14,-33.9258,18.4232,62.91,79,0,4.61,clear sky
27,Oranjemund,NA,2022-06-08 19:30:15,-28.55,16.4333,60.66,56,0,2.64,clear sky
28,Mataura,NZ,2022-06-08 19:30:15,-46.1927,168.8643,39.47,97,100,3.69,overcast clouds
29,Komsomolskiy,UZ,2022-06-08 19:30:17,40.4272,71.7189,79.52,25,100,9.22,overcast clouds
30,Atuona,PF,2022-06-08 19:30:17,-9.8,-139.0333,78.46,74,13,18.92,few clouds
31,Mar Del Plata,AR,2022-06-08 19:28:01,-38.0023,-57.5575,65.08,71,0,5.75,clear sky
32,Claye-Souilly,FR,2022-06-08 19:30:18,48.9449,2.6857,65.91,63,40,14.97,scattered clouds
33,Arraial Do Cabo,BR,2022-06-08 19:30:19,-22.9661,-42.0278,73.26,78,75,9.22,broken clouds
34,Longyearbyen,SJ,2022-06-08 19:30:19,78.2186,15.6401,40.84,75,100,3.44,overcast clouds
35,Talnakh,RU,2022-06-08 19:30:20,69.4865,88.3972,38.21,96,100,3.78,overcast clouds
36,Port Alfred,ZA,2022-06-08 19:30:20,-33.5906,26.891,68.5,41,0,9.08,clear sky
37,Port Augusta,AU,2022-06-08 19:30:21,-32.5,137.7667,48.69,83,26,5.64,scattered clouds
38,Thompson,CA,2022-06-08 19:26:29,55.7435,-97.8558,66.36,39,75,10.36,broken clouds
39,Teshie,GH,2022-06-08 19:30:22,5.5836,-0.1072,82.96,78,20,12.66,few clouds
40,Mayumba,GA,2022-06-08 19:30:22,-3.432,10.6554,73.98,86,7,3.87,clear sky
41,Portland,US,2022-06-08 19:27:57,45.5234,-122.6762,73.17,55,75,5.75,broken clouds
42,Hazorasp,UZ,2022-06-08 19:30:24,41.3194,61.0742,73.24,30,4,15.95,clear sky
43,Airai,TL,2022-06-08 19:30:26,-8.9266,125.4092,59.38,96,63,2.93,broken clouds
44,Marawi,PH,2022-06-08 19:30:26,7.9986,124.2928,68.92,93,100,2.55,overcast clouds
45,Arman,RU,2022-06-08 19:30:27,59.7,150.1667,44.53,86,100,5.55,overcast clouds
46,Vaini,TO,2022-06-08 19:30:29,-21.2,-175.2,73.56,78,20,6.91,few clouds
47,Lasa,IT,2022-06-08 19:30:30,46.6166,10.7002,59.88,96,100,3.27,light rain
48,Santa Rosa,PH,2022-06-08 19:30:32,14.3122,121.1114,81.1,90,100,3.74,overcast clouds
49,Mazamari,PE,2022-06-08 19:30:33,-11.3258,-74.5308,85.05,54,78,1.43,broken clouds
50,Linxia,CN,2022-06-08 19:30:33,35.6003,103.2064,57.94,69,100,5.08,overcast clouds
51,Qaanaaq,GL,2022-06-08 19:30:35,77.484,-69.3632,31.68,85,91,3.56,overcast clouds
52,Egvekinot,RU,2022-06-08 19:30:35,66.3167,-179.1667,39.96,43,26,8.12,scattered clouds
53,Gambela,ET,2022-06-08 19:30:38,8.25,34.5833,70.3,78,57,3.15,broken clouds
54,Cidreira,BR,2022-06-08 19:30:39,-30.1811,-50.2056,63.66,83,7,9.62,clear sky
55,Arlit,NE,2022-06-08 19:30:39,18.7369,7.3853,92.48,10,0,12.59,clear sky
56,Dzilam Gonzalez,MX,2022-06-08 19:30:40,21.2833,-88.9333,95.2,42,100,8.05,overcast clouds
57,Miri,MY,2022-06-08 19:30:40,4.4148,114.0089,78.94,100,40,1.14,scattered clouds
58,Sola,VU,2022-06-08 19:30:40,-13.8833,167.55,80.38,76,72,15.97,broken clouds
59,Busselton,AU,2022-06-08 19:30:42,-33.65,115.3333,58.8,59,52,16.51,broken clouds
60,Dikson,RU,2022-06-08 19:30:43,73.5069,80.5464,27.46,91,51,3.83,broken clouds
61,Manta,EC,2022-06-08 19:30:44,-0.95,-80.7333,78.58,73,75,11.5,broken clouds
62,Tasiilaq,GL,2022-06-08 19:30:44,65.6145,-37.6368,42.96,73,10,2.75,clear sky
63,Hambantota,LK,2022-06-08 19:30:45,6.1241,81.1185,79.99,82,100,17.72,overcast clouds
64,East London,ZA,2022-06-08 19:30:45,-33.0153,27.9116,66.38,43,0,5.82,clear sky
65,Butaritari,KI,2022-06-08 19:30:46,3.0707,172.7902,81.55,75,89,11.23,overcast clouds
66,Ostrovnoy,RU,2022-06-08 19:30:47,68.0531,39.5131,54.21,60,62,13.98,broken clouds
67,Saint-Philippe,RE,2022-06-08 19:30:48,-21.3585,55.7679,69.39,83,84,11.61,light rain
68,Jamestown,US,2022-06-08 19:30:32,42.097,-79.2353,72.01,48,75,6.91,broken clouds
69,Chase,CA,2022-06-08 19:30:14,50.8165,-119.6857,72.09,42,51,6.6,broken clouds
70,Zhenhai,CN,2022-06-08 19:30:49,24.2582,118.0905,71.08,96,100,10.56,heavy intensity rain
71,Georgetown,MY,2022-06-08 19:29:41,5.4112,100.3354,81.95,94,20,5.75,few clouds
72,Abbeville,FR,2022-06-08 19:30:51,50.1,1.8333,60.49,86,0,15.35,clear sky
73,Grindavik,IS,2022-06-08 19:30:52,63.8424,-22.4338,55.35,66,75,8.05,broken clouds
74,Muli,MV,2022-06-08 19:30:52,2.9167,73.5667,82.51,73,91,8.12,overcast clouds
75,Hithadhoo,MV,2022-06-08 19:30:53,-0.6,73.0833,82.69,73,100,7.2,overcast clouds
76,Iqaluit,CA,2022-06-08 19:30:12,63.7506,-68.5145,46.13,66,20,4.61,few clouds
77,Vila Franca Do Campo,PT,2022-06-08 19:30:55,37.7167,-25.4333,74.19,81,31,6.31,scattered clouds
78,Norman Wells,CA,2022-06-08 19:30:55,65.282,-126.8329,50.04,71,100,3.44,overcast clouds
79,Kapaa,US,2022-06-08 19:30:56,22.0752,-159.319,81.12,72,0,8.05,clear sky
80,Lompoc,US,2022-06-08 19:26:54,34.6391,-120.4579,89.78,56,0,23.0,clear sky
81,Dehloran,IR,2022-06-08 19:30:57,32.6941,47.2679,98.49,10,0,7.49,clear sky
82,Bathsheba,BB,2022-06-08 19:30:58,13.2167,-59.5167,86.61,70,40,19.57,scattered clouds
83,Ostersund,SE,2022-06-08 19:30:31,63.1792,14.6357,56.61,100,75,3.44,broken clouds
84,Victoria,HK,2022-06-08 19:30:18,22.2855,114.1577,80.33,92,100,5.99,moderate rain
85,Esperance,AU,2022-06-08 19:31:00,-33.8667,121.9,51.01,82,12,12.97,few clouds
86,Carauari,BR,2022-06-08 19:31:02,-4.8828,-66.8958,84.25,74,78,1.59,broken clouds
87,Sovetskiy,RU,2022-06-08 19:31:02,61.3614,63.5842,52.0,84,95,11.41,overcast clouds
88,Mao,ES,2022-06-08 19:31:03,39.8885,4.2658,73.96,78,40,10.36,scattered clouds
89,Bredasdorp,ZA,2022-06-08 19:31:04,-34.5322,20.0403,61.39,71,2,9.1,clear sky
90,Ribeira Grande,PT,2022-06-08 19:31:05,38.5167,-28.7,68.4,88,40,6.91,scattered clouds
91,Anamur,TR,2022-06-08 19:31:05,36.0751,32.8369,74.01,82,0,6.58,clear sky
92,Porto Torres,IT,2022-06-08 19:31:06,40.835,8.3972,73.58,81,57,7.47,broken clouds
93,Richards Bay,ZA,2022-06-08 19:31:07,-28.783,32.0377,61.72,89,0,7.83,clear sky
94,Luau,AO,2022-06-08 19:31:08,-10.7073,22.2247,58.89,47,91,5.3,overcast clouds
95,Hrubieszow,PL,2022-06-08 19:31:08,50.805,23.8925,63.93,84,27,7.52,scattered clouds
96,Bambous Virieux,MU,2022-06-08 19:31:09,-20.3428,57.7575,73.65,78,40,3.44,scattered clouds
97,Hasaki,JP,2022-06-08 19:31:09,35.7333,140.8333,61.2,85,98,13.42,overcast clouds
98,Moree,AU,2022-06-08 19:31:10,-29.4667,149.85,38.84,84,0,7.4,clear sky
99,Udachnyy,RU,2022-06-08 19:31:11,66.4167,112.4,46.45,75,6,6.04,clear sky
100,Bandarbeyla,SO,2022-06-08 19:31:11,9.4942,50.8122,81.66,72,67,17.54,broken clouds
101,Husavik,IS,2022-06-08 19:31:12,66.0449,-17.3389,47.71,87,100,3.38,overcast clouds
102,Upernavik,GL,2022-06-08 19:31:12,72.7868,-56.1549,34.34,95,100,9.28,overcast clouds
103,La Palma,US,2022-06-08 19:31:15,33.8464,-118.0467,93.67,67,40,8.05,scattered clouds
104,Chuy,UY,2022-06-08 19:31:16,-33.6971,-53.4616,60.42,77,40,3.65,scattered clouds
105,Mecca,SA,2022-06-08 19:29:53,21.4267,39.8261,91.9,28,0,4.36,clear sky
106,Tuatapere,NZ,2022-06-08 19:31:17,-46.1333,167.6833,42.13,92,21,4.16,few clouds
107,Phayao,TH,2022-06-08 19:31:17,19.25,100.25,71.94,97,100,2.59,overcast clouds
108,Alta Floresta,BR,2022-06-08 19:31:18,-9.8756,-56.0861,93.02,38,40,3.44,scattered clouds
