City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sinnamary,5.3833,-52.95,77.65,89,86,10.63,GF,2022-05-20 20:32:57
1,Atuona,-9.8,-139.0333,77.38,67,0,9.75,PF,2022-05-20 20:32:57
2,Pisco,-13.7,-76.2167,71.65,60,0,11.5,PE,2022-05-20 20:32:58
3,Touros,-5.1989,-35.4608,79.18,81,81,7.61,BR,2022-05-20 20:32:58
4,Ajdabiya,30.7554,20.2263,66.22,39,0,13.27,LY,2022-05-20 20:32:59
5,Puerto Ayora,-0.7393,-90.3518,80.56,91,53,1.99,EC,2022-05-20 20:32:59
6,Yellowknife,62.456,-114.3525,59.56,21,75,9.22,CA,2022-05-20 20:33:00
7,Hobart,-42.8794,147.3294,41.05,92,20,6.91,AU,2022-05-20 20:33:00
8,Qaanaaq,77.484,-69.3632,17.46,81,16,2.82,GL,2022-05-20 20:33:01
9,Yerbogachen,61.2767,108.0108,45.54,80,100,3.44,RU,2022-05-20 20:33:01
10,Ostrovnoy,68.0531,39.5131,31.24,66,98,6.58,RU,2022-05-20 20:33:01
11,Mozarlandia,-14.7447,-50.5706,68.02,30,33,3.87,BR,2022-05-20 20:33:02
12,Port Blair,11.6667,92.75,83.07,79,100,18.45,IN,2022-05-20 20:33:02
13,Airai,-8.9266,125.4092,57.43,90,35,4.07,TL,2022-05-20 20:33:03
14,Iracoubo,5.4802,-53.2011,77.72,88,86,10.76,GF,2022-05-20 20:33:03
15,Winslow,35.0242,-110.6974,82.58,11,0,35.68,US,2022-05-20 20:30:18
16,Sovetskiy,61.3614,63.5842,35.71,94,100,9.91,RU,2022-05-20 20:33:04
17,Arraial Do Cabo,-22.9661,-42.0278,67.86,77,20,12.66,BR,2022-05-20 20:33:05
18,Alofi,-19.0595,-169.9187,76.89,94,40,5.75,NU,2022-05-20 20:33:05
19,Dibrugarh,27.4833,94.9,68.07,94,66,2.84,IN,2022-05-20 20:33:06
20,Bethel,41.3712,-73.414,74.25,75,20,12.66,US,2022-05-20 20:32:01
21,Busselton,-33.65,115.3333,55.62,83,3,9.1,AU,2022-05-20 20:33:06
22,Fairbanks,64.8378,-147.7164,68.02,37,0,3.44,US,2022-05-20 20:29:58
23,Baruun-Urt,46.6806,113.2792,60.84,36,96,5.37,MN,2022-05-20 20:33:07
24,Salta,-24.7859,-65.4117,70.39,57,0,11.5,AR,2022-05-20 20:33:07
25,Vaini,-21.2,-175.2,77.16,83,40,4.61,TO,2022-05-20 20:33:08
26,Lady Lake,28.9175,-81.9229,86.02,65,89,11.01,US,2022-05-20 20:33:08
27,Cabinda,-5.55,12.2,76.39,82,5,7.31,AO,2022-05-20 20:33:09
28,Maurepas,48.7649,1.9292,58.62,85,0,5.75,FR,2022-05-20 20:33:09
29,Barrow,71.2906,-156.7887,32.02,93,100,11.5,US,2022-05-20 20:33:10
30,Jamestown,42.097,-79.2353,75.02,84,100,8.05,US,2022-05-20 20:30:11
31,Dong Hoi,17.4833,106.6,77.16,90,100,5.39,VN,2022-05-20 20:30:35
32,Fortuna,40.5982,-124.1573,65.86,60,20,18.41,US,2022-05-20 20:30:05
33,Muncar,-8.4333,114.3333,74.91,92,90,0.29,ID,2022-05-20 20:33:11
34,Punta Arenas,-53.15,-70.9167,42.91,87,100,4.61,CL,2022-05-20 20:33:11
35,Santa Isabel,-23.3156,-46.2214,64.11,92,7,3.2,BR,2022-05-20 20:33:12
36,Rikitea,-23.1203,-134.9692,73.09,78,100,3.76,PF,2022-05-20 20:32:30
37,Launceston,-41.45,147.1667,42.15,93,100,4.61,AU,2022-05-20 20:31:56
38,Bredasdorp,-34.5322,20.0403,51.33,78,6,4.45,ZA,2022-05-20 20:33:13
39,Birobidzhan,48.8,132.95,50.79,91,100,4.79,RU,2022-05-20 20:33:13
40,Tarakan,3.3,117.6333,78.98,84,95,5.68,ID,2022-05-20 20:33:14
41,Tuktoyaktuk,69.4541,-133.0374,41.0,65,100,4.61,CA,2022-05-20 20:33:14
42,Avarua,-21.2078,-159.775,78.85,69,75,6.91,CK,2022-05-20 20:33:15
43,Itoman,26.1247,127.6694,73.78,88,100,17.27,JP,2022-05-20 20:33:15
44,Rawlins,41.7911,-107.2387,38.35,44,100,11.5,US,2022-05-20 20:33:16
45,Tiksi,71.6872,128.8694,31.32,84,100,6.98,RU,2022-05-20 20:33:16
46,Burnie,-41.0667,145.9167,46.94,89,79,5.46,AU,2022-05-20 20:33:16
47,Bluff,-46.6,168.3333,45.81,76,100,32.86,NZ,2022-05-20 20:34:17
48,Lebu,-37.6167,-73.65,53.98,86,18,7.11,CL,2022-05-20 20:33:51
49,Terrace,54.5163,-128.6035,64.31,36,20,5.75,CA,2022-05-20 20:30:20
50,Fare,-16.7,-151.0167,80.26,72,7,10.92,PF,2022-05-20 20:34:18
51,Lavrentiya,65.5833,-171.0,35.19,95,47,7.96,RU,2022-05-20 20:34:19
52,Saskylakh,71.9167,114.0833,30.25,87,100,3.18,RU,2022-05-20 20:34:19
53,Dandong,40.1292,124.3947,53.42,91,0,2.53,CN,2022-05-20 20:34:19
54,Morros,-9.4467,-46.3003,75.56,44,28,5.55,BR,2022-05-20 20:34:20
55,Banda Aceh,5.5577,95.3222,80.38,80,100,10.29,ID,2022-05-20 20:34:21
56,Ancud,-41.8697,-73.8203,52.23,89,97,18.75,CL,2022-05-20 20:34:21
57,Mataura,-46.1927,168.8643,45.48,91,98,13.2,NZ,2022-05-20 20:34:21
58,Hithadhoo,-0.6,73.0833,82.96,73,65,9.22,MV,2022-05-20 20:34:22
59,Kumluca,36.3703,30.2869,69.67,59,7,4.14,TR,2022-05-20 20:34:23
60,Tieli,46.95,128.05,54.9,92,100,0.29,CN,2022-05-20 20:34:23
61,Luderitz,-26.6481,15.1594,52.41,73,1,10.51,NA,2022-05-20 20:34:23
62,East London,-33.0153,27.9116,61.65,73,100,9.13,ZA,2022-05-20 20:34:24
63,Codrington,-38.2667,141.9667,42.67,91,9,6.73,AU,2022-05-20 20:34:24
64,Ushuaia,-54.8,-68.3,46.06,61,20,6.91,AR,2022-05-20 20:30:23
65,Noumea,-22.2763,166.4572,77.0,99,100,18.48,NC,2022-05-20 20:34:25
66,Kavaratti,10.5669,72.642,82.27,79,99,11.07,IN,2022-05-20 20:34:25
67,Spearfish,44.4908,-103.8594,42.66,74,100,16.11,US,2022-05-20 20:34:26
68,Viedma,-40.8135,-62.9967,59.67,37,100,10.13,AR,2022-05-20 20:34:26
69,Jiaohe,43.7286,127.3447,55.54,76,92,4.9,CN,2022-05-20 20:34:27
70,Port Hardy,50.6996,-127.4199,53.6,81,20,5.75,CA,2022-05-20 20:34:27
71,Awbari,26.5921,12.7805,78.53,27,0,17.49,LY,2022-05-20 20:34:28
72,Karratha,-20.7377,116.8463,74.86,73,55,5.68,AU,2022-05-20 20:34:28
73,Georgetown,5.4112,100.3354,80.55,93,20,0.0,MY,2022-05-20 20:33:10
74,Tapes,-30.6733,-51.3958,56.21,76,0,4.54,BR,2022-05-20 20:34:29
75,Bonthe,7.5264,-12.505,79.68,83,94,7.2,SL,2022-05-20 20:34:29
76,Cholet,47.1667,-1.0,58.24,90,71,7.0,FR,2022-05-20 20:34:32
77,Bobrovka,54.047,61.7455,44.46,91,100,19.19,RU,2022-05-20 20:34:32
78,Guiyang,26.5833,106.7167,54.09,94,20,2.24,CN,2022-05-20 20:30:09
79,Sahuaripa,29.05,-109.2333,93.96,11,0,18.54,MX,2022-05-20 20:34:33
80,La Ferte-Bernard,48.1863,0.6536,64.02,87,11,1.61,FR,2022-05-20 20:34:34
